Date,Day of the Week,Amount,Description,Category ,Method of Payment
20/1/23,Friday,66,Sandals,Entertainment and Recreation,Credit
21/1/23,Saturday,7.99,Boba,Food,Credit
21/1/23,Saturday,6,Boba,Food,Credit
25/1/23,Wednesday,11.69,Chips ,Food,Cash
25/1/23,Wednesday,10,Chicken ,Food,Cash
25/1/23,Wednesday,4,Noodles,Food,Cash
25/1/23,Wednesday,2,Water,Food,Cash
27/1/23,Friday,7.99,Boba,Food,Cash
28/1/23,Saturday,6,Boba,Food,Cash
1/2/23,Wednesday,9,Sky Cafe,Food,Cash
6/2/23,Monday,5,Sky Cafe,Food,Cash
