Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-02-14,18.5,18.629999,18.49,18.6,18.6,394000,0
2022-02-15,18.43,18.450001,18.35,18.41,18.41,194800,1
2022-02-16,18.459999,18.610001,18.459999,18.6,18.6,192400,2
2022-02-17,18.809999,18.889999,18.780001,18.879999,18.879999,735900,3
2022-02-18,18.85,18.860001,18.790001,18.860001,18.860001,252900,4
2022-02-22,18.92,18.950001,18.83,18.889999,18.889999,419400,5
2022-02-23,18.889999,18.99,18.879999,18.969999,18.969999,208000,6
2022-02-24,19.440001,19.440001,18.67,18.860001,18.860001,2235200,7
2022-02-25,18.790001,18.809999,18.709999,18.790001,18.790001,359200,8
2022-02-28,19.030001,19.049999,18.799999,18.99,18.99,1132000,9
2022-03-01,19.07,19.35,19.059999,19.34,19.34,1413700,10
2022-03-02,19.18,19.23,19.040001,19.139999,19.139999,1836200,11
2022-03-03,19.15,19.299999,19.110001,19.25,19.25,578300,12
2022-03-04,19.389999,19.58,19.309999,19.559999,19.559999,1330900,13
2022-03-07,19.65,19.870001,19.610001,19.85,19.85,1644800,14
2022-03-08,20.059999,20.57,20.040001,20.389999,20.389999,2546200,15
2022-03-09,19.799999,19.93,19.67,19.790001,19.790001,1199000,16
2022-03-10,19.9,19.940001,19.700001,19.84,19.84,1550400,17
2022-03-11,19.57,19.780001,19.530001,19.700001,19.700001,1518600,18
2022-03-14,19.48,19.51,19.370001,19.41,19.41,468500,19
2022-03-15,19.07,19.18,18.950001,19.040001,19.040001,729500,20
2022-03-16,19.08,19.18,18.84,19.17,19.17,1090300,21
2022-03-17,19.290001,19.379999,19.24,19.26,19.26,617700,22
2022-03-18,19.16,19.26,19.059999,19.08,19.08,737600,23
2022-03-21,19.110001,19.290001,19.1,19.23,19.23,1043400,24
2022-03-22,19.129999,19.129999,18.99,19.1,19.1,372400,25
2022-03-23,19.200001,19.360001,19.139999,19.34,19.34,238800,26
2022-03-24,19.42,19.540001,19.360001,19.5,19.5,451900,27
2022-03-25,19.35,19.5,19.32,19.42,19.42,639000,28
2022-03-28,19.209999,19.309999,19.049999,19.07,19.07,508900,29
2022-03-29,18.860001,19.09,18.82,19.030001,19.030001,9207600,30
2022-03-30,19.139999,19.26,19.129999,19.219999,19.219999,859900,31
