employment,GPA
Employed,3.2
Unemployed,3.375
Employed,2.8
Unemployed,2.85
Unemployed,3.6
Unemployed,3.26
Employed,4
Unemployed,3.5
Employed,3.1
Employed,2.5
Employed,2.9
Employed,4
Employed,3.8
Unemployed,3.33
Employed,3.3
Employed,3.86
Employed,3.33
Unemployed,3.78
Unemployed,3.91
Unemployed,4
Unemployed,3.9
Employed,3.9
Unemployed,3.8
Employed,3.84
Employed,3.2
Employed,4
Employed,3
Employed,3.8
Unemployed,3.3
Employed,3.2
Employed,3.8
Unemployed,3
Employed,4
Unemployed,4
Unemployed,3.74
Unemployed,3.56
Unemployed,3.91
Unemployed,4
Employed,3.1
Unemployed,3.8
Unemployed,3.7
Unemployed,3.4
Employed,3.5
Unemployed,3.21
Employed,3.7
Unemployed,3.5
Employed,1.8
Employed,3.2
Unemployed,3.8
Employed,3.3
Unemployed,3
Employed,2.8
Employed,3
Employed,3.6
Unemployed,2
Employed,3.81
Employed,3.8
Employed,2.5
Employed,3.1
Unemployed,3.9
Employed,2
Unemployed,2.5
Employed,3
Employed,3.5
Employed,3.75
Employed,3.6
Unemployed,3.4
Unemployed,3.9
Employed,4
Unemployed,3.8
Unemployed,4
Unemployed,4
Unemployed,2.28
Unemployed,3
Employed,3.7
Unemployed,4
Unemployed,3.65
Unemployed,4
Employed,1.2
Unemployed,3.7
Employed,1.8
Employed,3.1
Unemployed,3.5
Employed,3.8
Unemployed,3
Employed,3.5
Employed,3.4
Unemployed,3.5
Unemployed,3.2
Unemployed,3.7
Unemployed,2.88
Unemployed,3
Employed,4
Employed,4
Employed,2.9
Unemployed,4
Employed,3.4
Employed,3.5
Unemployed,4
Employed,3.1
Employed,2.8
Unemployed,3.5
Employed,3.1
Unemployed,4
Employed,4.2
Employed,3.85
Employed,3.2
Unemployed,4
Unemployed,4.3
Employed,3
Employed,3.2
Employed,4
Employed,3.75
Unemployed,3.3
Employed,3.1
Unemployed,3
Unemployed,4
Employed,3.2
Employed,3.5
Employed,4.7
Employed,2
Unemployed,3
Unemployed,3.96
Employed,3.64
Unemployed,2.9
Employed,4
Employed,3.3
