Year,Period,Avg hrs per day sleeping,Standard Error,Type of Days,Age Group,Activity,Sex
2003,Annual,8.570,0.018,All days,15 years and over,Sleeping,Both
2004,Annual,8.550,0.026,All days,15 years and over,Sleeping,Both
2005,Annual,8.620,0.023,All days,15 years and over,Sleeping,Both
2006,Annual,8.630,0.024,All days,15 years and over,Sleeping,Both
2007,Annual,8.570,0.024,All days,15 years and over,Sleeping,Both
2008,Annual,8.600,0.023,All days,15 years and over,Sleeping,Both
2009,Annual,8.670,0.023,All days,15 years and over,Sleeping,Both
2010,Annual,8.670,0.024,All days,15 years and over,Sleeping,Both
2011,Annual,8.710,0.026,All days,15 years and over,Sleeping,Both
2012,Annual,8.730,0.026,All days,15 years and over,Sleeping,Both
2013,Annual,8.740,0.027,All days,15 years and over,Sleeping,Both
2014,Annual,8.800,0.025,All days,15 years and over,Sleeping,Both
2015,Annual,8.830,0.027,All days,15 years and over,Sleeping,Both
2016,Annual,8.790,0.028,All days,15 years and over,Sleeping,Both
2017,Annual,8.800,0.027,All days,15 years and over,Sleeping,Both
2003,Annual,8.260,0.023,Nonholiday weekdays,15 years and over,Sleeping,Both
2004,Annual,8.250,0.034,Nonholiday weekdays,15 years and over,Sleeping,Both
2005,Annual,8.350,0.030,Nonholiday weekdays,15 years and over,Sleeping,Both
2006,Annual,8.330,0.032,Nonholiday weekdays,15 years and over,Sleeping,Both
2007,Annual,8.290,0.032,Nonholiday weekdays,15 years and over,Sleeping,Both
2008,Annual,8.300,0.032,Nonholiday weekdays,15 years and over,Sleeping,Both
2009,Annual,8.390,0.031,Nonholiday weekdays,15 years and over,Sleeping,Both
2010,Annual,8.380,0.031,Nonholiday weekdays,15 years and over,Sleeping,Both
2011,Annual,8.450,0.034,Nonholiday weekdays,15 years and over,Sleeping,Both
2012,Annual,8.450,0.034,Nonholiday weekdays,15 years and over,Sleeping,Both
2013,Annual,8.480,0.036,Nonholiday weekdays,15 years and over,Sleeping,Both
2014,Annual,8.540,0.031,Nonholiday weekdays,15 years and over,Sleeping,Both
2015,Annual,8.590,0.035,Nonholiday weekdays,15 years and over,Sleeping,Both
2016,Annual,8.500,0.037,Nonholiday weekdays,15 years and over,Sleeping,Both
2017,Annual,8.530,0.035,Nonholiday weekdays,15 years and over,Sleeping,Both
2003,Annual,9.290,0.026,Weekend days and holidays,15 years and over,Sleeping,Both
2004,Annual,9.250,0.032,Weekend days and holidays,15 years and over,Sleeping,Both
2005,Annual,9.280,0.037,Weekend days and holidays,15 years and over,Sleeping,Both
